date,reason,code,total_score,price,occupied_slots,observation_occupied,observation_occupancy_pct
2016-05-24,MAX_POSITIONS,US.INTU,100.0,99.31579711,10,3,30.0
2016-05-25,MAX_POSITIONS,US.AAPL,84.51,22.678468194,10,3,30.0
2016-05-25,MAX_POSITIONS,US.PAYX,80.4,39.438059735,10,3,30.0
2016-05-26,MAX_POSITIONS,US.CPRT,100.0,6.01625,10,3,30.0
2016-05-26,MAX_POSITIONS,US.FANG,88.45,70.790028389,10,3,30.0
2016-05-26,MAX_POSITIONS,US.NFLX,85.14,10.281,10,3,30.0
2016-05-27,MAX_POSITIONS,US.LRCX,100.0,6.999555844,10,3,30.0
2016-05-27,MAX_POSITIONS,US.KLAC,100.0,6.142684061,10,3,30.0
2016-05-31,MAX_POSITIONS,US.NXPI,82.66,83.253628766,10,2,20.0
2016-06-02,MAX_POSITIONS,US.TEAM,100.0,24.95,10,2,20.0
2016-06-02,MAX_POSITIONS,US.DXCM,88.54,16.91,10,2,20.0
2016-06-03,MAX_POSITIONS,US.AVGO,100.0,12.446290923,10,2,20.0
2016-06-06,MAX_POSITIONS,US.BKNG,100.0,52.841538007,10,2,20.0
2016-06-06,MAX_POSITIONS,US.WDAY,82.19,81.84,10,2,20.0
2016-06-07,MAX_POSITIONS,US.TSLA,93.65,15.48917844,10,2,20.0
2016-06-08,MAX_POSITIONS,US.DXCM,100.0,18.335,10,2,20.0
2016-06-09,MAX_POSITIONS,US.AEP,86.94,45.249727756,10,2,20.0
2016-06-15,MAX_POSITIONS,US.TEAM,99.73,25.99,10,2,20.0
2016-06-20,MAX_POSITIONS,US.ADP,86.17,71.553105753,10,2,20.0
2016-06-23,MAX_POSITIONS,US.TXN,85.35,48.151726437,10,2,20.0
2016-06-23,MAX_POSITIONS,US.LRCX,92.96,7.399041334,10,2,20.0
2016-06-23,MAX_POSITIONS,US.PAYX,94.86,41.363301332,10,2,20.0
2016-06-23,MAX_POSITIONS,US.ISRG,98.71,73.478529812,10,2,20.0
2016-06-23,MAX_POSITIONS,US.MU,100.0,13.702785272,10,2,20.0
2016-06-30,MAX_POSITIONS,US.INTU,100.0,103.295462822,10,4,40.0
2016-06-30,MAX_POSITIONS,US.ADP,100.0,73.827311607,10,4,40.0
2016-06-30,MAX_POSITIONS,US.PAYX,100.0,43.722089701,10,4,40.0
2016-06-30,MAX_POSITIONS,US.CTAS,100.0,22.064139353,10,4,40.0
2016-06-30,MAX_POSITIONS,US.EXC,100.0,17.987488142,10,4,40.0
2016-06-30,MAX_POSITIONS,US.PEP,97.6,78.002457613,10,4,40.0
2016-06-30,MAX_POSITIONS,US.CMCSA,96.69,23.440414389,10,4,40.0
2016-07-07,MAX_POSITIONS,US.CMCSA,85.19,23.926085789,10,4,40.0
2016-07-07,MAX_POSITIONS,US.COST,100.0,138.136898403,10,4,40.0
2016-07-08,MAX_POSITIONS,US.INTU,84.87,107.158541109,10,4,40.0
2016-07-08,MAX_POSITIONS,US.AMGN,81.32,119.562136133,10,4,40.0
2016-07-08,MAX_POSITIONS,US.ROST,92.76,52.678751935,10,4,40.0
2016-07-08,MAX_POSITIONS,US.VRSK,91.93,79.291882716,10,4,40.0
2016-07-18,MAX_POSITIONS,US.GOOGL,100.0,37.328994208,10,3,30.0
2016-07-18,MAX_POSITIONS,US.GOOG,84.11,36.368349146,10,3,30.0
2016-07-19,MAX_POSITIONS,US.DXCM,80.98,20.76,10,3,30.0
2016-07-20,MAX_POSITIONS,US.MSFT,100.0,49.431623708,10,3,30.0
2016-07-20,MAX_POSITIONS,US.MRVL,100.0,10.444340189,10,3,30.0
2016-07-20,MAX_POSITIONS,US.CSCO,100.0,22.846543283,10,3,30.0
2016-07-20,MAX_POSITIONS,US.ISRG,100.0,78.115103708,10,3,30.0
2016-07-20,MAX_POSITIONS,US.CTAS,100.0,24.024796595,10,3,30.0
2016-07-21,MAX_POSITIONS,US.QCOM,100.0,45.12568819,10,3,30.0
2016-07-22,MAX_POSITIONS,US.MRVL,88.73,10.885912204,10,3,30.0
2016-07-22,MAX_POSITIONS,US.EXC,99.65,18.518668189,10,3,30.0
2016-07-25,MAX_POSITIONS,US.ROST,100.0,55.353863397,10,3,30.0
2016-07-25,MAX_POSITIONS,US.FTNT,89.3,7.314,10,3,30.0
2016-07-26,MAX_POSITIONS,US.ADI,100.0,52.090785433,10,3,30.0
2016-07-26,MAX_POSITIONS,US.NXPI,100.0,77.447285094,10,3,30.0
2016-07-26,MAX_POSITIONS,US.ON,100.0,10.17,10,3,30.0
2016-07-26,MAX_POSITIONS,US.TXN,100.0,54.328535579,10,3,30.0
2016-07-26,MAX_POSITIONS,US.PCAR,100.0,26.590685203,10,3,30.0
2016-07-26,MAX_POSITIONS,US.ROST,85.35,56.127279976,10,3,30.0
2016-07-27,MAX_POSITIONS,US.QCOM,88.96,47.068359232,10,3,30.0
2016-07-27,MAX_POSITIONS,US.REGN,100.0,411.68967902,10,3,30.0
2016-07-27,MAX_POSITIONS,US.AMGN,100.0,126.672038455,10,3,30.0
2016-07-27,MAX_POSITIONS,US.AAPL,100.0,23.436541865,10,3,30.0
2016-07-28,MAX_POSITIONS,US.TEAM,90.38,29.74,10,3,30.0
2016-07-28,MAX_POSITIONS,US.ORLY,81.88,19.244666762,10,3,30.0
2016-07-29,MAX_POSITIONS,US.GOOGL,100.0,39.219232975,10,3,30.0
2016-07-29,MAX_POSITIONS,US.GOOG,100.0,38.103550301,10,3,30.0
2016-07-29,MAX_POSITIONS,US.ALGN,100.0,89.15,10,3,30.0
2016-07-29,MAX_POSITIONS,US.REGN,90.1,421.637515587,10,3,30.0
2016-08-01,MAX_POSITIONS,US.AAPL,89.73,24.142256093,10,3,30.0
2016-08-01,MAX_POSITIONS,US.REGN,82.47,430.444772688,10,3,30.0
2016-08-03,MAX_POSITIONS,US.ALGN,87.47,91.95,10,3,30.0
2016-08-05,MAX_POSITIONS,US.TEAM,100.0,31.97,10,3,30.0
2016-08-05,MAX_POSITIONS,US.BKNG,100.0,55.392157646,10,3,30.0
2016-08-05,MAX_POSITIONS,US.AAPL,91.67,24.600340325,10,3,30.0
2016-08-05,MAX_POSITIONS,US.AVGO,85.53,13.080083287,10,3,30.0
2016-08-10,MAX_POSITIONS,US.ADBE,98.91,100.62,10,3,30.0
2016-08-15,MAX_POSITIONS,US.MU,100.0,15.14621034,10,3,30.0
2016-08-15,MAX_POSITIONS,US.AVGO,85.87,13.50568831,10,3,30.0
2016-08-18,MAX_POSITIONS,US.CPRT,85.0,6.50875,10,2,20.0
2016-08-19,MAX_POSITIONS,US.MU,93.36,15.84841713,10,2,20.0
2016-08-23,MAX_POSITIONS,US.PANW,84.86,23.684763007,10,2,20.0
2016-08-29,MAX_POSITIONS,US.TTWO,100.0,44.17,10,2,20.0
2016-08-30,MAX_POSITIONS,US.MDLZ,100.0,35.170034676,10,2,20.0
2016-09-01,MAX_POSITIONS,US.WDAY,89.69,87.89,10,2,20.0
2016-09-01,MAX_POSITIONS,US.MRVL,88.74,11.964277546,10,2,20.0
2016-09-06,MAX_POSITIONS,US.AMZN,100.0,39.4435,10,2,20.0
2016-09-06,MAX_POSITIONS,US.META,100.0,128.600689193,10,2,20.0
2016-09-14,MAX_POSITIONS,US.AAPL,85.17,25.582248215,10,2,20.0
2016-09-15,MAX_POSITIONS,US.AAPL,100.0,26.452003456,10,2,20.0
2016-09-21,MAX_POSITIONS,US.ADBE,100.0,107.78,10,2,20.0
2016-09-21,MAX_POSITIONS,US.TEAM,81.12,31.9,10,2,20.0
2016-09-22,MAX_POSITIONS,US.ISRG,100.0,79.798403361,10,2,20.0
2016-09-22,MAX_POSITIONS,US.AMZN,100.0,40.235,10,2,20.0
2016-09-27,MAX_POSITIONS,US.AMZN,86.44,40.8055,10,2,20.0
2016-09-27,MAX_POSITIONS,US.REGN,82.2,417.997579376,10,2,20.0
2016-09-28,MAX_POSITIONS,US.AMZN,100.0,41.436,10,2,20.0
2016-09-29,MAX_POSITIONS,US.QCOM,100.0,51.219143753,10,1,10.0
2016-10-03,MAX_POSITIONS,US.NFLX,94.41,10.263,10,1,10.0
2016-10-10,MAX_POSITIONS,US.CDNS,100.0,26.25,10,1,10.0
2016-10-10,MAX_POSITIONS,US.FANG,100.0,81.076234916,10,1,10.0
2016-10-21,MAX_POSITIONS,US.MSFT,100.0,53.075861785,10,2,20.0
2016-10-21,MAX_POSITIONS,US.META,89.55,130.920319291,10,2,20.0
2016-10-24,MAX_POSITIONS,US.TMUS,100.0,48.9526873,10,2,20.0
2016-10-24,MAX_POSITIONS,US.META,81.13,132.119786137,10,2,20.0
2016-10-25,MAX_POSITIONS,US.AMD,98.17,7.5,10,2,20.0
2016-10-31,MAX_POSITIONS,US.AEP,87.35,44.100426411,10,3,30.0
2016-11-09,MAX_POSITIONS,US.GILD,100.0,55.401991892,10,1,10.0
2016-11-09,MAX_POSITIONS,US.VRTX,100.0,92.88,10,1,10.0
2016-11-09,MAX_POSITIONS,US.REGN,100.0,414.992400433,10,1,10.0
2016-11-09,MAX_POSITIONS,US.TMUS,100.0,50.693142289,10,1,10.0
2016-11-09,MAX_POSITIONS,US.FAST,100.0,8.511570706,10,1,10.0
2016-11-09,MAX_POSITIONS,US.PANW,87.84,26.50306814,10,1,10.0
2016-11-15,MAX_POSITIONS,US.ADI,98.12,56.887024179,10,1,10.0
2016-11-17,MAX_POSITIONS,US.INTU,87.09,105.928904079,10,1,10.0
2016-11-17,MAX_POSITIONS,US.LRCX,100.0,8.901710195,10,1,10.0
2016-11-17,MAX_POSITIONS,US.AMD,100.0,8.46,10,1,10.0
2016-11-17,MAX_POSITIONS,US.MU,100.0,18.706008649,10,1,10.0
2016-11-18,MAX_POSITIONS,US.MRVL,100.0,13.822200112,10,1,10.0
2016-11-18,MAX_POSITIONS,US.ROST,100.0,61.739255802,10,1,10.0
2016-11-18,MAX_POSITIONS,US.INTU,97.68,107.9581221,10,1,10.0
2016-11-21,MAX_POSITIONS,US.ADI,95.45,58.229761445,10,1,10.0
2016-11-21,MAX_POSITIONS,US.IDXX,81.2,118.54,10,1,10.0
2016-11-22,MAX_POSITIONS,US.ADI,100.0,60.790136232,10,1,10.0
2016-11-22,MAX_POSITIONS,US.CTAS,100.0,26.154640036,10,1,10.0
2016-11-23,MAX_POSITIONS,US.ON,100.0,12.44,10,1,10.0
2016-11-30,MAX_POSITIONS,US.FANG,100.0,83.118008241,10,1,10.0
2016-12-07,MAX_POSITIONS,US.SPY,100.0,192.248716866,10,1,10.0
2016-12-07,MAX_POSITIONS,US.TMUS,100.0,55.83800374,10,1,10.0
2016-12-08,MAX_POSITIONS,US.COST,100.0,133.748864474,10,1,10.0
2016-12-09,MAX_POSITIONS,US.AAPL,85.37,26.21511719,10,1,10.0
2016-12-15,MAX_POSITIONS,US.MDLZ,100.0,35.304606522,10,1,10.0
2016-12-15,MAX_POSITIONS,US.ON,80.23,13.03,10,1,10.0
2016-12-19,MAX_POSITIONS,US.ASML,100.0,93.125043834,10,1,10.0
2016-12-20,MAX_POSITIONS,US.TSLA,83.84,13.91919414,10,1,10.0
2016-12-22,MAX_POSITIONS,US.MU,100.0,22.616910353,10,1,10.0
2016-12-27,MAX_POSITIONS,US.TSLA,100.0,14.63518698,10,1,10.0
2017-01-06,MAX_POSITIONS,US.AMZN,97.82,39.7995,10,0,0.0
2017-01-09,MAX_POSITIONS,US.VRTX,100.0,82.86,10,0,0.0
2017-01-10,MAX_POSITIONS,US.ISRG,95.49,73.576305633,10,0,0.0
2017-01-11,MAX_POSITIONS,US.WDAY,100.0,81.7,10,0,0.0
2017-01-11,MAX_POSITIONS,US.ISRG,100.0,75.349603486,10,0,0.0
2017-01-12,MAX_POSITIONS,US.TEAM,96.89,26.81,10,0,0.0
2017-01-12,MAX_POSITIONS,US.AMZN,93.11,40.682,10,0,0.0
2017-01-12,MAX_POSITIONS,US.ASML,91.82,97.386820813,10,0,0.0
2017-01-13,MAX_POSITIONS,US.DXCM,100.0,21.2825,10,0,0.0
2017-01-13,MAX_POSITIONS,US.TSLA,96.58,15.8498415,10,0,0.0
2017-01-13,MAX_POSITIONS,US.META,81.08,127.222789262,10,0,0.0
