date,victim_code,incoming_code,window_end,still_open_at_backtest_end,replace_return_pct,keep_return_pct,replace_alpha_pct
2017-12-12,US.CPRT,US.TSLA,2017-12-26,False,-6.961,-0.824,-6.137
2018-01-02,US.PEP,US.NFLX,2018-02-09,False,19.703,-5.828,25.531
2018-01-02,US.ROST,US.PCAR,2018-01-30,False,-1.082,3.603,-4.685
2018-03-08,US.PANW,US.FTNT,2018-07-24,False,23.405,11.25,12.156
2018-11-30,US.CTAS,US.WDAY,2018-12-17,False,-6.244,-11.293,5.049
2019-01-17,US.NFLX,US.FAST,2019-03-20,False,10.015,6.237,3.777
2019-07-11,US.AMZN,US.FTNT,2019-07-31,False,-5.0,-6.711,1.711
2019-09-03,US.PDD,US.AEP,2019-09-05,False,-1.412,4.872,-6.284
2019-09-04,US.VRSK,US.AMAT,2019-10-16,False,4.141,-4.298,8.439
2019-10-11,US.ALGN,US.FAST,2019-12-03,False,-5.0,38.07,-43.07
2019-10-15,US.HON,US.NVDA,2019-11-19,False,5.917,11.192,-5.275
2019-11-01,US.KDP,US.FTNT,2020-02-24,False,19.486,3.835,15.652
2020-04-14,US.SPY,US.CDNS,2020-06-24,False,20.524,7.625,12.899
2020-04-17,US.AMD,US.REGN,2020-04-21,False,-5.0,-6.502,1.502
2020-04-29,US.META,US.ALGN,2020-04-30,False,-5.0,5.417,-10.417
2020-11-04,US.PDD,US.GOOGL,2021-01-11,False,0.598,56.439,-55.841
2020-11-04,US.AEP,US.GOOG,2021-01-11,False,1.006,-11.901,12.906
2021-01-12,US.HON,US.FANG,2021-01-15,False,-5.782,-1.412,-4.369
2021-01-14,US.BKR,US.LRCX,2021-01-27,False,-7.664,-13.918,6.254
2021-03-22,US.ORLY,US.PEP,2021-06-11,False,7.96,8.948,-0.988
2021-03-26,US.AEP,US.ASML,2021-06-03,False,6.813,1.998,4.815
2021-03-26,US.FTNT,US.CSCO,2021-05-14,False,1.349,12.633,-11.284
2021-06-10,US.MRVL,US.ADBE,2021-09-27,False,12.722,21.886,-9.164
2022-01-14,US.FAST,US.KDP,2022-01-26,False,-5.0,-6.554,1.554
2022-03-25,US.NVDA,US.EXC,2022-06-02,False,8.415,-29.25,37.665
2022-03-29,US.AAPL,US.TXN,2022-03-31,False,-3.942,-2.431,-1.511
2022-03-29,US.VRSK,US.DXCM,2022-04-12,False,-5.0,-0.074,-4.926
2022-03-30,US.BKR,US.PAYX,2022-04-25,False,-5.0,-17.697,12.697
2022-04-07,US.VRTX,US.COST,2022-04-22,False,-5.978,-1.961,-4.017
2022-04-07,US.REGN,US.ORLY,2022-04-14,False,-1.782,1.554,-3.336
2022-05-27,US.AMGN,US.CEG,2022-05-31,False,-6.787,0.58,-7.367
2022-05-27,US.GILD,US.KLAC,2022-06-01,False,-5.0,-0.046,-4.954
2022-07-20,US.ROST,US.NFLX,2023-03-09,False,37.581,28.768,8.813
2022-07-21,US.SNOW,US.ASML,2022-08-26,False,-5.737,25.347,-31.084
2022-08-10,US.VRTX,US.TTD,2022-08-17,False,-5.482,1.17,-6.652
2022-10-24,US.FANG,US.ORLY,2023-01-05,False,8.566,-11.341,19.908
2022-10-27,US.DXCM,US.CEG,2022-11-08,False,-5.911,13.926,-19.837
2022-11-10,US.MDLZ,US.AVGO,2023-05-08,False,26.118,21.568,4.55
2023-01-20,US.GOOG,US.GOOGL,2023-01-25,False,-2.857,-2.568,-0.288
2023-03-16,US.CDNS,US.GOOG,2023-07-19,False,21.48,16.683,4.797
2023-08-03,US.KDP,US.MELI,2023-08-16,False,-5.719,-0.236,-5.483
2023-08-10,US.FANG,US.APP,2023-10-26,False,-5.0,8.029,-13.029
2023-08-29,US.REGN,US.INTU,2023-09-21,False,-5.987,-0.82,-5.167
2023-08-31,US.SBUX,US.OKTA,2023-09-26,False,-5.0,-5.583,0.583
2025-04-29,US.TTWO,US.OKTA,2025-05-28,False,-6.5,-1.032,-5.468
2025-06-11,US.INTU,US.SBUX,2025-06-24,False,-5.0,-0.748,-4.252
2025-11-11,US.CEG,US.AMGN,2025-12-09,False,-6.607,2.244,-8.851
