date,day_idx,replacement_type,would_be_victim,would_be_victim_score,would_be_victim_entry_date,would_be_victim_entry_day_idx,would_be_victim_mtm_pnl_at_review,incoming_code,incoming_score,stability_score,final_pnl,foregone_gain_from_review_point,still_held_at_end
2017-09-18,682,FULL_DOWNGRADE_REPLACE,US.GILD,86.61,2017-09-07,675,-72.93,US.NVDA,100.0,0.2287994130970707,-160.3,-87.37,False
2017-09-22,686,FULL_DOWNGRADE_REPLACE,US.HON,83.03,2017-09-21,685,21.18,US.CSCO,100.0,0.03587668892777167,-33.81,-54.99,False
2017-12-12,742,LOW_PARTIAL_EVICT,US.ROST,62.42,2017-12-04,736,-50.19,US.TSLA,100.0,0.13135208787062327,-37.22,12.969999999999999,False
2017-12-12,742,FULL_DOWNGRADE_REPLACE,US.CMCSA,85.54,2017-12-01,735,78.02,US.TSLA,100.0,0.2117205399768938,-19.45,-97.47,False
2018-01-02,755,OBSERVATION_EVICT,US.PEP,43.52,2017-12-29,754,-12.85,US.NFLX,100.0,,-38.52,-25.67,False
2018-03-08,800,OBSERVATION_EVICT,US.PANW,48.39,2018-03-05,797,39.36,US.FTNT,100.0,,36.92,-2.4399999999999977,False
2018-03-08,800,LOW_PARTIAL_EVICT,US.VRTX,60.77,2018-03-05,797,-28.16,US.FTNT,100.0,0.05486015283238974,-272.6,-244.44000000000003,False
2018-03-08,800,FULL_DOWNGRADE_REPLACE,US.DXCM,81.92,2018-03-06,798,19.08,US.FTNT,100.0,0.046229696859420806,3318.2,3299.12,False
2018-04-18,828,OBSERVATION_EVICT,US.PCAR,51.14,2018-04-16,826,17.77,US.ISRG,100.0,,-5.31,-23.08,False
2018-05-04,840,OBSERVATION_EVICT,US.BKR,51.72,2018-04-12,824,126.64,US.IDXX,100.0,,-29.29,-155.93,False
2018-05-04,840,LOW_PARTIAL_EVICT,US.INTU,65.42,2018-04-26,834,40.38,US.IDXX,100.0,0.13433441690186176,375.33,334.95,False
2018-07-20,893,LOW_PARTIAL_EVICT,US.PEP,62.9,2018-07-19,892,4.12,US.CTAS,100.0,0.025783386288659896,-16.53,-20.650000000000002,False
