date,day_idx,replacement_from,replacement_to,victim_score,incoming_score,score_delta,holding_days_before_replacement,victim_pnl,replacement_type,replacement_stability_score,incoming_final_pnl,incoming_closed
2015-10-05,190,US.COST,US.ADP,43.17,80.05,36.88,8,12.51,OBSERVATION_EVICT,,117.32,True
2015-10-08,193,US.XEL,US.COST,51.09,95.08,43.99,10,23.12,OBSERVATION_EVICT,,86.36,True
2015-10-08,193,US.AEP,US.MDLZ,53.9,88.4,34.5,6,-0.56,OBSERVATION_EVICT,,-18.43,True
2015-10-14,197,US.MSFT,US.ON,69.92,89.9,19.98,8,52.48,LOW_PARTIAL_EVICT,0.20000130879383834,-116.55,True
2015-11-20,224,US.NFLX,US.INTU,51.44,100.0,48.56,3,21.17,OBSERVATION_EVICT,,-67.72,True
2015-11-20,224,US.AMAT,US.GOOG,62.3,100.0,37.7,5,74.2,LOW_PARTIAL_EVICT,0.10767515018755076,2.79,True
2015-11-20,224,US.COST,US.ISRG,66.71,93.06,26.35,2,11.32,LOW_PARTIAL_EVICT,0.052970482093319,132.59,True
2015-12-22,245,US.WDAY,US.AMD,45.36,100.0,54.64,6,0.16,OBSERVATION_EVICT,,-88.91,True
2016-02-19,284,US.HON,US.AMAT,43.89,87.4,43.51,3,16.98,OBSERVATION_EVICT,,1816.4,True
2016-02-22,285,US.CSCO,US.QCOM,45.41,83.4,37.99,5,50.32,OBSERVATION_EVICT,,11.36,True
2016-02-25,288,US.PAYX,US.CPRT,48.37,100.0,51.63,8,55.07,OBSERVATION_EVICT,,150.83,True
2016-03-01,291,US.PCAR,US.WDAY,49.66,100.0,50.34,17,37.19,OBSERVATION_EVICT,,101.14,True
2016-03-03,293,US.EXC,US.VRSK,58.97,86.86,27.89,24,152.74,OBSERVATION_EVICT,,94.33,True
2016-03-04,294,US.KLAC,US.AVGO,61.35,100.0,38.65,5,7.59,LOW_PARTIAL_EVICT,0.1186618643087518,-89.07,True
2016-03-14,300,US.XEL,US.AMD,52.84,100.0,47.16,4,0.69,OBSERVATION_EVICT,,-140.66,True
2016-03-17,303,US.AAPL,US.FAST,60.47,100.0,39.53,2,17.4,LOW_PARTIAL_EVICT,0.045731201514318844,-47.65,True
2016-03-17,303,US.CSCO,US.PAYX,66.95,94.09,27.14,6,34.76,LOW_PARTIAL_EVICT,0.1447624670662172,-21.2,True
2016-03-29,310,US.META,US.ON,47.27,100.0,52.73,1,9.25,OBSERVATION_EVICT,,-123.83,True
2016-04-13,321,US.NFLX,US.MELI,44.5,91.5,47.0,1,6.14,OBSERVATION_EVICT,,384.79,True
2016-04-20,326,US.NVDA,US.ISRG,43.77,100.0,56.23,3,-5.78,OBSERVATION_EVICT,,-65.68,True
2016-04-29,333,US.META,US.IDXX,45.04,100.0,54.96,1,3.63,OBSERVATION_EVICT,,688.61,True
2016-05-11,341,US.CPRT,US.EA,59.76,100.0,40.24,1,-4.76,OBSERVATION_EVICT,,76.03,True
2016-05-20,348,US.NVDA,US.CDNS,62.66,87.12,24.46,2,39.25,LOW_PARTIAL_EVICT,0.03966656224016997,-147.3,True
2016-07-18,387,US.COST,US.GOOGL,52.38,100.0,47.62,25,10.52,OBSERVATION_EVICT,,46.67,True
2016-07-18,387,US.AEP,US.GOOG,61.73,84.11,22.38,14,49.11,LOW_PARTIAL_EVICT,0.3503879590421811,83.02,True
2016-07-20,389,US.ASML,US.MSFT,66.67,100.0,33.33,4,57.24,LOW_PARTIAL_EVICT,0.09211791565508526,44.31,True
2016-09-14,428,US.FAST,US.AAPL,65.94,85.17,19.23,2,-5.74,LOW_PARTIAL_EVICT,0.05082284108107308,9.48,True
2016-10-10,446,US.KLAC,US.CDNS,42.32,100.0,57.68,3,11.63,OBSERVATION_EVICT,,-20.21,True
2016-10-24,456,US.GOOG,US.TMUS,53.13,100.0,46.87,4,9.29,OBSERVATION_EVICT,,484.2,True
2016-11-09,468,US.IDXX,US.GILD,45.92,100.0,54.08,8,3.95,OBSERVATION_EVICT,,-77.47,True
2016-11-09,468,US.KLAC,US.VRTX,48.48,100.0,51.52,10,0.71,OBSERVATION_EVICT,,-135.32,True
2016-11-09,468,US.HON,US.REGN,48.89,100.0,51.11,2,4.34,OBSERVATION_EVICT,,-84.65,True
2016-11-15,472,US.CMCSA,US.KLAC,67.33,99.41,32.08,1,-6.92,LOW_PARTIAL_EVICT,0.025200505100418515,-68.34,True
2016-12-07,487,US.FAST,US.SPY,49.0,100.0,51.0,2,4.96,OBSERVATION_EVICT,,18.6,True
2017-02-01,524,US.IDXX,US.MU,48.65,80.82,32.17,1,1.04,OBSERVATION_EVICT,,-227.33,True
2017-02-15,534,US.COST,US.ADI,68.9,100.0,31.1,1,7.12,LOW_PARTIAL_EVICT,0.029149764910254432,-69.74,True
2017-04-19,577,US.TEAM,US.LRCX,47.23,100.0,52.77,6,6.2,OBSERVATION_EVICT,,349.91,True
2017-05-10,592,US.MNST,US.NVDA,62.43,100.0,37.57,2,-30.84,LOW_PARTIAL_EVICT,0.04841600686117099,1090.59,True
2017-06-16,618,US.DXCM,US.CTAS,45.57,98.19,52.62,3,38.68,OBSERVATION_EVICT,,-193.76,True
2017-06-21,621,US.VRSK,US.GILD,47.01,100.0,52.99,6,16.27,OBSERVATION_EVICT,,448.35,True
2017-06-21,621,US.FTNT,US.VRTX,58.78,100.0,41.22,7,2.62,OBSERVATION_EVICT,,-154.34,True
2017-06-21,621,US.AMGN,US.AMD,60.39,85.22,24.83,8,75.96,LOW_PARTIAL_EVICT,0.2009698768516093,-107.62,True
2017-07-18,639,US.TTWO,US.NFLX,43.75,100.0,56.25,5,14.93,OBSERVATION_EVICT,,-141.25,True
2017-07-19,640,US.ASML,US.LRCX,59.45,100.0,40.55,5,63.52,OBSERVATION_EVICT,,-187.89,True
2017-07-19,640,US.REGN,US.VRTX,64.71,100.0,35.29,20,54.32,LOW_PARTIAL_EVICT,0.4274807419538889,-113.91,True
2017-07-19,640,US.PCAR,US.CDNS,67.53,94.61,27.08,11,67.24,LOW_PARTIAL_EVICT,0.2864704480840232,475.75,True
2017-08-01,649,US.CMCSA,US.NXPI,53.09,100.0,46.91,1,-1.99,OBSERVATION_EVICT,,29.46,True
2017-08-14,658,US.XEL,US.CMCSA,41.54,94.14,52.6,2,-3.34,OBSERVATION_EVICT,,-220.57,True
2017-08-18,662,US.AEP,US.ROST,68.75,100.0,31.25,2,1.87,LOW_PARTIAL_EVICT,0.05892294715230209,195.83,True
2017-08-30,670,US.MU,US.ADI,52.68,100.0,47.32,1,1.63,OBSERVATION_EVICT,,-63.16,True
2017-09-11,677,US.KLAC,US.MELI,57.7,100.0,42.3,2,10.35,OBSERVATION_EVICT,,-137.65,True
2017-09-11,677,US.TTWO,US.AMGN,62.48,100.0,37.52,2,11.22,LOW_PARTIAL_EVICT,0.04362793397623984,-123.94,True
2018-01-02,755,US.FANG,US.ON,52.59,100.0,47.41,5,18.31,OBSERVATION_EVICT,,50.6,True
2018-03-08,800,US.PANW,US.FTNT,48.39,100.0,51.61,3,33.56,OBSERVATION_EVICT,,508.77,True
2018-03-08,800,US.TEAM,US.OKTA,52.84,100.0,47.16,4,35.88,OBSERVATION_EVICT,,-137.7,True
2018-03-09,801,US.WDAY,US.KLAC,56.72,92.21,35.49,4,27.37,OBSERVATION_EVICT,,-89.56,True
2018-03-09,801,US.NFLX,US.IDXX,57.11,89.58,32.47,5,141.28,OBSERVATION_EVICT,,-104.4,True
2018-03-09,801,US.VRTX,US.FAST,60.77,86.44,25.67,4,55.55,LOW_PARTIAL_EVICT,0.07314687044318634,-27.28,True
2018-04-18,828,US.PCAR,US.ISRG,51.14,100.0,48.86,2,15.58,OBSERVATION_EVICT,,-119.99,True
2018-05-04,840,US.BKR,US.AAPL,51.72,100.0,48.28,16,119.19,OBSERVATION_EVICT,,51.67,True
2018-05-04,840,US.INTU,US.IDXX,65.42,100.0,34.58,6,34.73,LOW_PARTIAL_EVICT,0.13433441690186176,-9.28,True
2018-05-07,841,US.XEL,US.NVDA,69.44,100.0,30.56,7,-16.65,LOW_PARTIAL_EVICT,0.19415951028725692,94.79,True
