date,code,side,qty,price,pnl,reason,strategy,entry_date,fee
2018-07-31,US.KLAC,BUY,364,1463.96516322,,SIGNAL,atr_breakout,,
2018-08-02,US.AEP,SELL,76,7222.933971820001,11580.13,STRAT_EXIT,atr_breakout,2018-06-25,1085.76
2018-08-02,US.AAPL,BUY,78,6841.0069644,,SIGNAL,atr_breakout,,
2018-08-15,US.SNPS,SELL,5,12969.6,5290.15,STRAT_EXIT,boll_mr,2018-06-28,124.34
2018-08-15,US.EXC,BUY,30,3292.2261273999998,,SIGNAL,atr_breakout,,
2018-08-16,US.CDNS,SELL,115,6351.799999999999,84277.54,STRAT_EXIT,atr_breakout,2018-04-24,1375.91
2018-08-16,US.CSCO,BUY,112,5040.3571883,,SIGNAL,atr_breakout,,
2018-08-17,US.MELI,SELL,14,45388.0,-37973.43,STOP_LOSS,atr_breakout,2018-07-16,1308.2
2018-08-17,US.KLAC,SELL,364,1390.766905059,-27150.41,STOP_LOSS,atr_breakout,2018-07-31,1039.12
2018-08-17,US.PCAR,BUY,111,4593.62263248,,SIGNAL,atr_breakout,,
2018-08-17,US.PAYX,BUY,16,7995.319532900001,,SIGNAL,atr_breakout,,
2018-08-28,US.PAYX,SELL,16,8003.0583654,-4.23,STRAT_EXIT,atr_breakout,2018-08-17,255.97
2018-08-28,US.QCOM,BUY,73,7918.59583536,,SIGNAL,atr_breakout,,
2018-09-05,US.ALGN,SELL,2,52207.4,12979.99,STRAT_EXIT,atr_breakout,2018-05-29,195.75
2018-09-05,US.XEL,BUY,89,5417.26910172,,SIGNAL,atr_breakout,,
2018-09-07,US.XEL,SELL,89,5350.21280808,-6444.18,STRAT_EXIT,atr_breakout,2018-09-05,958.31
2018-09-07,US.AVGO,BUY,184,2627.69561908,,SIGNAL,atr_breakout,,
2018-09-18,US.PEP,SELL,11,12559.85855166,6993.57,STRAT_EXIT,atr_breakout,2018-06-25,269.19
2018-09-18,US.CMCSA,BUY,105,3955.35761348,,SIGNAL,atr_breakout,,
2018-09-24,US.CMCSA,SELL,105,3734.21811784,-23611.74,STOP_LOSS,atr_breakout,2018-09-18,807.41
2018-09-24,US.FANG,BUY,28,14372.66618998,,SIGNAL,atr_breakout,,
2018-10-08,US.DXCM,SELL,170,4289.950834438663,229892.85,ATR_TRAIL,atr_breakout,2018-05-03,1227.96
2018-10-08,US.SHG,BUY,22,4849.3329038,,SIGNAL,atr_breakout,,
2018-10-10,US.HON,SELL,31,18635.8435151,15946.96,ATR_TRAIL,atr_breakout,2018-07-20,1138.9
2018-10-10,US.EXC,SELL,30,3286.8527671,-259.81,STRAT_EXIT,atr_breakout,2018-08-15,197.37
2018-10-10,US.PCAR,SELL,111,4358.69928186,-26560.31,STOP_LOSS,atr_breakout,2018-08-17,993.71
