date,code,side,qty,price,pnl,reason,strategy,entry_date,fee,regime_at_entry,replacement_to,replacement_score_delta,replacement_type,replacement_stability_score,holding_days
2015-06-15,US.CAT,SELL,43,66.097359944,85.45,STRAT_EXIT,atr_breakout,2015-04-15,5.6,,,,,,61
2015-06-16,US.EQIX,SELL,11,197.029982134,-2.17,ATR_TRAIL,atr_breakout,2015-04-30,4.33,,,,,,47
2015-06-17,US.CIEN,SELL,24,26.03,2.5,ACTIVE_REPLACEMENT,atr_breakout,2015-06-15,1.25,,US.AMD,49.45,OBSERVATION_EVICT,,2
2015-06-18,US.TXN,SELL,6,40.136799061,5.56,ACTIVE_REPLACEMENT,boll_mr,2015-06-09,0.48,,US.DXCM,57.72,OBSERVATION_EVICT,,9
2015-06-19,US.AMD,SELL,1276,2.47,-3.15,ATR_TRAIL,atr_breakout,2015-06-17,6.3,,,,,,2
2015-06-22,US.DLR,SELL,15,45.843323553,5.01,ACTIVE_REPLACEMENT,atr_breakout,2015-06-16,1.37,,US.TSEM,44.76,OBSERVATION_EVICT,,6
2015-06-24,US.FN,SELL,100,19.82,-17.98,ATR_TRAIL,atr_breakout,2015-06-19,3.98,,,,,,5
2015-06-26,US.TSEM,SELL,142,15.81,-171.23,STOP_LOSS,atr_breakout,2015-06-22,4.66,,,,,,4
2015-06-29,US.INTU,SELL,21,92.406525154,-112.2,STOP_LOSS,atr_breakout,2015-05-22,3.99,,,,,,38
2015-06-29,US.GILD,SELL,35,79.525884523,-45.94,ATR_TRAIL,atr_breakout,2015-06-10,5.61,,,,,,19
2015-07-02,US.MNST,SELL,105,22.073029267499997,-124.3,STOP_LOSS,atr_breakout,2015-06-26,4.76,,,,,,6
2015-07-07,US.ANET,SELL,476,4.818125,-2.29,ATR_TRAIL,atr_breakout,2015-06-05,4.59,,,,,,32
2015-07-09,US.SOXX,SELL,29,26.1718711152,-40.71,STOP_LOSS,boll_mr,2015-06-30,1.56,,,,,,9
2015-07-13,US.GLW,SELL,58,14.1196888515,-43.92,STOP_LOSS,boll_mr,2015-06-30,1.68,,,,,,13
2015-07-14,US.AEP,SELL,78,35.234451879,-51.4,STRAT_EXIT,atr_breakout,2015-07-07,5.55,,,,,,7
2015-07-22,US.FTNT,SELL,367,8.459999999,306.64,STRAT_EXIT,atr_breakout,2015-04-21,5.9,,,,,,92
2015-07-22,US.TSLA,SELL,196,17.85782142,471.08,STRAT_EXIT,atr_breakout,2015-04-27,6.53,Bull,,,,,86
2015-07-23,US.IDXX,SELL,36,66.842,-129.05,STOP_LOSS,atr_breakout,2015-07-22,4.94,,,,,,1
2015-07-27,US.COST,SELL,15,120.394043331,17.35,STRAT_EXIT,atr_breakout,2015-07-10,3.59,,,,,,17
2015-07-28,US.EQIX,SELL,2,216.307507953,3.53,ACTIVE_REPLACEMENT,atr_breakout,2015-07-27,0.86,,US.CDNS,59.54,OBSERVATION_EVICT,,1
2015-08-03,US.ISRG,SELL,51,58.04172756635,-158.76,STOP_LOSS,atr_breakout,2015-07-22,6.08,,,,,,12
2015-08-06,US.FTNT,SELL,269,9.328,-12.73,ATR_TRAIL,atr_breakout,2015-07-23,5.03,,,,,,14
2015-08-06,US.MNST,SELL,72,24.14475855,-133.02,STOP_LOSS,atr_breakout,2015-08-03,3.61,,,,,,3
2015-08-11,US.SBUX,SELL,49,44.43108196,-2.18,ATR_TRAIL,atr_breakout,2015-07-13,4.35,,,,,,29
2015-08-13,US.CMCSA,SELL,12,21.164402547,3.24,ACTIVE_REPLACEMENT,boll_mr,2015-08-07,0.5,,US.ORLY,54.83,OBSERVATION_EVICT,,6
2015-08-17,US.XEL,SELL,26,25.560871173,13.0,ACTIVE_REPLACEMENT,atr_breakout,2015-08-07,1.32,,US.ADP,54.73,OBSERVATION_EVICT,,10
2015-08-18,US.SLV,SELL,48,14.078999999999999,-36.24,STOP_LOSS,atr_breakout,2015-08-12,1.39,,,,,,6
2015-08-20,US.EA,SELL,51,65.709645636,-111.25,ATR_TRAIL,atr_breakout,2015-07-07,6.81,,,,,,44
2015-08-20,US.CDNS,SELL,114,20.47,-38.81,ATR_TRAIL,atr_breakout,2015-07-28,4.7,,,,,,23
2015-08-20,US.ADP,SELL,39,64.839276339,-63.37,STRAT_EXIT,atr_breakout,2015-08-17,5.12,,,,,,3
2015-08-21,US.QQQ,SELL,133,93.816826455,-20.82,MA200_BREAK,core_etf,2015-01-02,24.96,,,,,,231
2015-08-21,US.META,SELL,19,85.310840298,-54.36,ATR_TRAIL,atr_breakout,2015-06-24,3.29,,,,,,58
2015-08-21,US.ORLY,SELL,185,15.878000079,-197.19,STOP_LOSS,atr_breakout,2015-08-13,6.07,,,,,,8
2015-08-21,US.FN,SELL,111,19.209,-114.35,STOP_LOSS,atr_breakout,2015-08-18,4.38,,,,,,3
2015-08-24,US.MDLZ,SELL,107,30.294696487,-3.24,ATR_TRAIL,atr_breakout,2015-05-08,6.48,,,,,,108
2015-08-24,US.DXCM,SELL,132,19.35,-2.55,ATR_TRAIL,atr_breakout,2015-06-18,5.11,,,,,,67
2015-08-24,US.GDX,SELL,145,12.750023827,-213.06,STOP_LOSS,atr_breakout,2015-08-20,3.91,,,,,,4
2015-08-27,US.GLD,SELL,31,107.73,-86.73,STRAT_EXIT,atr_breakout,2015-08-20,6.76,,,,,,7
2015-09-14,US.AMD,SELL,452,1.82,-86.7,STOP_LOSS,atr_breakout,2015-09-11,1.73,,,,,,3
2015-09-15,US.ISRG,SELL,6,57.084413387,12.53,STRAT_EXIT,boll_mr,2015-08-25,0.67,,,,,,21
2015-09-18,US.GOOG,SELL,83,31.187527188,277.76,STRAT_EXIT,atr_breakout,2015-07-14,4.9,,,,,,66
2015-09-18,US.BKNG,SELL,16,50.701790604,-16.06,STRAT_EXIT,atr_breakout,2015-09-15,1.64,,,,,,3
2015-09-18,US.AVGO,SELL,78,9.6337938447,-40.3,STOP_LOSS,atr_breakout,2015-09-15,1.54,,,,,,3
2015-09-18,US.KLAC,SELL,174,4.119174452,-40.85,STOP_LOSS,atr_breakout,2015-09-16,1.47,,,,,,2
2015-09-18,US.QQQ,SELL,127,96.777286085,-186.27,MA200_BREAK,core_etf,2015-09-16,24.76,,,,,,2
2015-09-22,US.GLW,SELL,55,12.884818852,-56.22,STOP_LOSS,atr_breakout,2015-09-16,1.47,,,,,,6
2015-09-24,US.SMCI,SELL,290,2.779,-6.9,ATR_TRAIL,atr_breakout,2015-09-15,1.62,,,,,,9
2015-09-28,US.EQIX,SELL,3,210.873055391,-45.37,STOP_LOSS,atr_breakout,2015-09-11,1.31,,,,,,17
2015-09-28,US.PANW,SELL,98,29.0047931077,-152.45,STOP_LOSS,atr_breakout,2015-09-15,5.83,,,,,,13
2015-09-28,US.ADBE,SELL,10,80.52,-50.61,STOP_LOSS,atr_breakout,2015-09-23,1.66,,,,,,5
2015-09-28,US.GLD,SELL,25,108.42,-54.46,STRAT_EXIT,atr_breakout,2015-09-24,5.47,,,,,,4
2015-09-28,US.ISRG,SELL,5,51.500080676,-15.62,STOP_LOSS,boll_mr,2015-09-24,0.53,,,,,,4
2015-09-29,US.SBUX,SELL,16,44.354815757749996,-38.06,STOP_LOSS,atr_breakout,2015-09-24,1.46,,,,,,5
2015-10-02,US.VRSK,SELL,44,74.309994641,-3.27,ATR_TRAIL,atr_breakout,2015-10-01,6.54,,,,,,1
2015-10-05,US.COST,SELL,6,123.922063129,12.51,ACTIVE_REPLACEMENT,atr_breakout,2015-09-23,1.47,,US.GE,56.83,OBSERVATION_EVICT,,12
2015-10-06,US.DLR,SELL,15,45.224081688,-0.68,ATR_TRAIL,atr_breakout,2015-10-02,1.36,,,,,,4
2015-10-07,US.XEL,SELL,31,25.121485415,13.23,ACTIVE_REPLACEMENT,atr_breakout,2015-09-24,1.54,,US.SMCI,48.91,OBSERVATION_EVICT,,13
2015-10-08,US.AEP,SELL,20,36.788291112,-0.59,ACTIVE_REPLACEMENT,atr_breakout,2015-09-30,1.47,,US.URA,42.53,OBSERVATION_EVICT,,8
2015-10-09,US.HWM,SELL,240,10.089664947,-172.35,STOP_LOSS,atr_breakout,2015-10-06,5.01,,,,,,3
2015-10-09,US.SMCI,SELL,763,2.69,-366.77,STOP_LOSS,atr_breakout,2015-10-07,4.47,,,,,,2
2015-10-12,US.COPX,SELL,179,13.108468501199999,-125.84,STOP_LOSS,atr_breakout,2015-10-09,4.82,,,,,,3
2015-10-13,US.QQQ,SELL,127,97.471462659,-62.92,MA200_BREAK,core_etf,2015-10-09,24.81,,,,,,4
2015-10-14,US.CPRT,SELL,275,4.30125,27.69,STRAT_EXIT,boll_mr,2015-08-25,2.34,,,,,,50
2015-10-19,US.GLD,SELL,20,112.02,-38.04,STRAT_EXIT,atr_breakout,2015-10-14,4.52,,,,,,5
2015-10-21,US.URA,SELL,195,10.904755282,-116.26,STOP_LOSS,atr_breakout,2015-10-08,4.37,,,,,,13
2015-10-26,US.COST,SELL,17,128.859863984,-2.19,ATR_TRAIL,atr_breakout,2015-10-09,4.38,,,,,,17
2015-10-26,US.BKNG,SELL,19,53.90024883,-1.02,ATR_TRAIL,atr_breakout,2015-10-19,2.05,,,,,,7
2015-10-27,US.CIEN,SELL,54,23.1,-82.25,STOP_LOSS,atr_breakout,2015-10-26,2.58,,,,,,1
2015-10-28,US.VRSK,SELL,32,69.080913647,-221.87,STOP_LOSS,atr_breakout,2015-10-02,4.64,,,,,,26
2015-11-09,US.BKNG,SELL,21,51.35511271,-87.58,STOP_LOSS,atr_breakout,2015-10-26,2.24,,,,,,14
2015-11-13,US.LSCC,SELL,252,4.88,-76.83,STOP_LOSS,atr_breakout,2015-11-09,2.54,,,,,,4
2015-11-16,US.AMAT,SELL,64,15.222252622,-0.97,ATR_TRAIL,atr_breakout,2015-11-13,1.95,,,,,,3
2015-11-23,US.REGN,SELL,2,566.173729237,4.94,STRAT_EXIT,atr_breakout,2015-10-27,2.26,,,,,,27
2015-12-02,US.XAR,SELL,26,49.619611549,4.98,STRAT_EXIT,atr_breakout,2015-10-28,2.57,,,,,,35
2015-12-04,US.MELI,SELL,10,118.20641604865,-63.4,STOP_LOSS,atr_breakout,2015-11-23,2.43,,,,,,11
2015-12-07,US.GDX,SELL,22,12.667751105599999,-14.95,STOP_LOSS,atr_breakout,2015-12-04,0.57,,,,,,3
2015-12-09,US.COHR,SELL,51,17.88,-65.68,STOP_LOSS,atr_breakout,2015-12-02,1.89,,,,,,7
2015-12-14,US.AVGO,SELL,26,10.73255322085,-14.97,STOP_LOSS,atr_breakout,2015-12-07,0.57,,,,,,7
2015-12-14,US.AMD,SELL,428,2.3275,-53.43,STOP_LOSS,atr_breakout,2015-12-10,2.04,,,,,,4
2015-12-22,US.WDAY,SELL,1,79.24,0.16,ACTIVE_REPLACEMENT,boll_mr,2015-12-14,0.16,,US.AMD,54.64,OBSERVATION_EVICT,,8
2015-12-23,US.HON,SELL,1,81.433369096,5.0,ACTIVE_REPLACEMENT,boll_mr,2015-12-14,0.16,,US.AA,51.16,OBSERVATION_EVICT,,9
2015-12-24,US.MSFT,SELL,74,48.529131162,599.7,STRAT_EXIT,atr_breakout,2015-10-05,6.58,Bull,,,,,80
2015-12-29,US.FAST,SELL,43,7.894596264,0.72,ACTIVE_REPLACEMENT,atr_breakout,2015-12-24,0.68,,US.LSCC,52.25,OBSERVATION_EVICT,,5
2015-12-31,US.FN,SELL,36,23.82,113.26,STRAT_EXIT,atr_breakout,2015-10-12,1.6,,,,,,80
2015-12-31,US.LSCC,SELL,223,6.431499999999999,-76.92,STOP_LOSS,atr_breakout,2015-12-29,2.94,,,,,,2
2016-01-04,US.AMD,SELL,510,2.6315,-71.98,STOP_LOSS,atr_breakout,2015-12-22,2.75,,,,,,13
2016-01-04,US.AA,SELL,44,27.2732589694,-64.36,STOP_LOSS,atr_breakout,2015-12-23,2.46,,,,,,12
2016-01-06,US.QQQ,SELL,126,99.777021741,96.58,MA200_BREAK,core_etf,2015-10-15,25.03,,,,,,83
2016-01-06,US.AMAT,SELL,62,15.663733266,-0.97,ATR_TRAIL,atr_breakout,2015-11-16,1.94,,,,,,51
2016-01-06,US.URA,SELL,35,9.7013389397,-18.21,STOP_LOSS,atr_breakout,2015-12-31,0.7,,,,,,6
2016-01-07,US.EXC,SELL,29,13.414647801,-5.0,STRAT_EXIT,atr_breakout,2016-01-05,0.78,,,,,,2
2016-01-11,US.PAYX,SELL,81,34.131771692,-2.76,ATR_TRAIL,atr_breakout,2015-09-30,5.53,,,,,,103
2016-01-11,US.GDX,SELL,198,12.623639253,-174.88,STOP_LOSS,atr_breakout,2016-01-07,5.17,,,,,,4
2016-01-12,US.GLD,SELL,30,104.21,-16.93,ATR_TRAIL,atr_breakout,2016-01-06,6.27,,,,,,6
2016-01-13,US.EQIX,SELL,8,249.200560283,-25.15,STRAT_EXIT,atr_breakout,2016-01-06,4.01,,,,,,7
2016-01-13,US.SMCI,SELL,804,2.5,-184.52,STOP_LOSS,atr_breakout,2016-01-12,4.2,,,,,,1
2016-01-13,US.ALGN,SELL,3,58.6815,-9.44,STOP_LOSS,boll_mr,2016-01-12,0.36,,,,,,1
2016-01-20,US.MSFT,SELL,4,43.3366797561,-9.3,STOP_LOSS,boll_mr,2016-01-08,0.36,Bull,,,,,12
2016-01-20,US.DLR,SELL,53,50.589337604,-222.67,STOP_LOSS,atr_breakout,2016-01-11,5.58,,,,,,9
2016-01-20,US.VOO,SELL,1,140.2677765013,-7.52,STOP_LOSS,boll_mr,2016-01-11,0.29,,,,,,9
2016-01-20,US.XEL,SELL,86,26.501232789,-39.0,STRAT_EXIT,atr_breakout,2016-01-19,4.59,,,,,,1
2016-01-28,US.SLV,SELL,166,13.57,-43.75,STRAT_EXIT,atr_breakout,2016-01-26,4.55,,,,,,2
2016-01-29,US.EA,SELL,9,62.63814913,-55.46,STOP_LOSS,atr_breakout,2016-01-26,1.18,,,,,,3
2016-02-02,US.META,SELL,5,113.612310093,26.69,ACTIVE_REPLACEMENT,atr_breakout,2016-01-28,1.11,,US.FN,45.01,OBSERVATION_EVICT,,5
2016-02-03,US.COHR,SELL,31,20.36,25.1,ACTIVE_REPLACEMENT,atr_breakout,2016-01-26,1.24,,US.CMCSA,59.86,OBSERVATION_EVICT,,8
2016-02-04,US.EXC,SELL,44,15.603991961,76.64,ACTIVE_REPLACEMENT,atr_breakout,2016-01-28,1.3,,US.GDX,41.03,OBSERVATION_EVICT,,7
2016-02-05,US.GE,SELL,23,125.299165575,190.98,STRAT_EXIT,atr_breakout,2015-10-05,5.57,,,,,,123
2016-02-05,US.FANG,SELL,39,51.764413308,-167.31,STOP_LOSS,atr_breakout,2016-01-28,4.2,,,,,,8
2016-02-05,US.GDX,SELL,144,14.645960771,-2.11,ATR_TRAIL,atr_breakout,2016-02-04,4.22,,,,,,1
2016-02-09,US.KLAC,SELL,216,5.248315313,-1.13,ATR_TRAIL,atr_breakout,2015-10-21,2.27,,,,,,111
2016-02-09,US.CMCSA,SELL,109,20.705128532,-2.26,ATR_TRAIL,atr_breakout,2016-02-03,4.51,,,,,,6
2016-02-10,US.GDX,SELL,168,14.68903712585,-132.35,STOP_LOSS,atr_breakout,2016-02-05,5.07,,,,,,5
2016-02-10,US.EXC,SELL,110,15.130350190449999,-89.26,STOP_LOSS,atr_breakout,2016-02-05,3.42,,,,,,5
2016-02-11,US.FN,SELL,87,27.59,-39.81,ATR_TRAIL,atr_breakout,2016-02-02,4.84,,,,,,9
2016-02-12,US.AEP,SELL,66,40.120789692,-2.65,ATR_TRAIL,atr_breakout,2016-01-29,5.3,,,,,,14
2016-02-16,US.GDX,SELL,134,15.607243645,-143.06,STOP_LOSS,atr_breakout,2016-02-11,4.32,,,,,,5
2016-02-17,US.COPX,SELL,73,9.740989685,45.48,ACTIVE_REPLACEMENT,atr_breakout,2016-02-16,1.38,,US.BKNG,56.8,OBSERVATION_EVICT,,1
2016-02-22,US.SLV,SELL,113,14.34,-1.62,ATR_TRAIL,atr_breakout,2016-02-05,3.24,,,,,,17
2016-02-24,US.ADP,SELL,10,66.500529406,-0.67,ATR_TRAIL,atr_breakout,2016-02-16,1.33,,,,,,8
2016-02-24,US.BKNG,SELL,61,48.394404195,-2.95,ATR_TRAIL,atr_breakout,2016-02-17,5.9,,,,,,7
2016-02-25,US.LSCC,SELL,336,6.14,-126.38,STOP_LOSS,atr_breakout,2016-02-24,4.25,,,,,,1
2016-03-01,US.RTX,SELL,60,46.721719724,-2.8,ATR_TRAIL,atr_breakout,2016-02-22,5.61,,,,,,8
2016-03-01,US.CPRT,SELL,567,4.76125,-2.7,ATR_TRAIL,atr_breakout,2016-02-25,5.4,,,,,,5
2016-03-02,US.HON,SELL,8,83.247321008,13.91,ACTIVE_REPLACEMENT,atr_breakout,2016-02-16,1.32,,US.AMD,56.11,OBSERVATION_EVICT,,15
2016-03-02,US.CSCO,SELL,36,19.703055263,46.49,ACTIVE_REPLACEMENT,atr_breakout,2016-02-12,1.37,,US.COPX,54.59,OBSERVATION_EVICT,,19
2016-03-03,US.CIEN,SELL,98,16.99,-361.33,STOP_LOSS,atr_breakout,2016-02-24,3.69,,,,,,8
2016-03-03,US.AMD,SELL,824,2.32,-1.91,ATR_TRAIL,atr_breakout,2016-03-02,3.82,,,,,,1
2016-03-04,US.PAYX,SELL,19,38.326762296,49.68,ACTIVE_REPLACEMENT,atr_breakout,2016-02-12,1.41,,US.AVGO,51.63,OBSERVATION_EVICT,,21
2016-03-08,US.ISRG,SELL,3,62.983184251,19.16,STRAT_EXIT,boll_mr,2016-02-09,0.36,,,,,,28
2016-03-08,US.AMD,SELL,776,2.3,-125.94,STOP_LOSS,atr_breakout,2016-03-03,3.69,,,,,,5
2016-03-08,US.CAT,SELL,41,56.090121548,-2.95,ATR_TRAIL,atr_breakout,2016-03-03,4.6,,,,,,5
2016-03-14,US.EXC,SELL,29,16.96406544,5.61,ACTIVE_REPLACEMENT,atr_breakout,2016-03-08,0.98,,US.AMD,52.15,OBSERVATION_EVICT,,6
2016-03-15,US.AMD,SELL,600,2.49,-139.49,STOP_LOSS,atr_breakout,2016-03-14,3.13,,,,,,1
2016-03-17,US.XEL,SELL,17,30.285551985,14.12,ACTIVE_REPLACEMENT,atr_breakout,2016-03-08,1.02,,US.ROK,47.16,OBSERVATION_EVICT,,9
2016-03-24,US.COPX,SELL,214,11.306208541,-2.42,ATR_TRAIL,atr_breakout,2016-03-02,4.84,,,,,,22
2016-03-28,US.QQQ,SELL,125,99.004154889,-30.07,MA200_BREAK,core_etf,2016-03-16,24.77,,,,,,12
2016-03-29,US.FN,SELL,32,30.59,-0.98,ATR_TRAIL,atr_breakout,2016-03-24,1.96,,,,,,5
2016-04-06,US.FAST,SELL,309,8.924348331,-2.76,ATR_TRAIL,atr_breakout,2016-03-01,5.52,,,,,,36
2016-04-12,US.ON,SELL,224,9.386000000000001,-112.76,STOP_LOSS,atr_breakout,2016-03-29,4.32,,,,,,14
2016-04-13,US.GLD,SELL,31,118.77,352.2,STRAT_EXIT,atr_breakout,2016-01-26,7.01,,,,,,78
2016-04-25,US.AAPL,SELL,68,23.663539355,-1.61,ATR_TRAIL,atr_breakout,2016-03-15,3.22,Sideways,,,,,41
2016-04-27,US.ROK,SELL,8,93.183948429,-0.75,ATR_TRAIL,atr_breakout,2016-03-17,1.49,,,,,,41
2016-04-28,US.QQQ,SELL,124,98.23129991,-306.61,MA200_BREAK,core_etf,2016-03-29,24.66,,,,,,30
2016-04-28,US.AMGN,SELL,8,117.718450787,-0.94,ATR_TRAIL,atr_breakout,2016-04-06,1.88,,,,,,22
2016-04-29,US.AVGO,SELL,197,11.116970955,-2.19,ATR_TRAIL,atr_breakout,2016-03-04,4.38,,,,,,56
2016-04-29,US.STM,SELL,248,5.520595608,-81.64,STOP_LOSS,atr_breakout,2016-04-27,2.82,,,,,,2
2016-05-02,US.CAT,SELL,22,61.548709066,-10.64,STRAT_EXIT,atr_breakout,2016-04-13,2.72,,,,,,19
2016-05-03,US.WDAY,SELL,31,71.74,-2.22,ATR_TRAIL,atr_breakout,2016-03-01,4.45,,,,,,63
2016-05-03,US.URA,SELL,99,10.620705133,-81.99,STOP_LOSS,atr_breakout,2016-04-12,2.18,,,,,,21
2016-05-06,US.FN,SELL,67,34.2095,-122.93,STOP_LOSS,atr_breakout,2016-05-03,4.7,,,,,,3
2016-05-11,US.QQQ,SELL,125,98.305791956,-125.19,MA200_BREAK,core_etf,2016-05-10,24.69,,,,,,1
2016-05-17,US.SBUX,SELL,9,44.184942914699995,-21.33,STOP_LOSS,boll_mr,2016-04-25,0.82,,,,,,22
2016-05-18,US.SLV,SELL,156,15.931499999999998,-133.29,STOP_LOSS,atr_breakout,2016-04-28,5.1,,,,,,20
2016-05-18,US.EQIX,SELL,6,279.698569614,-1.68,ATR_TRAIL,atr_breakout,2016-05-09,3.36,,,,,,9
2016-05-24,US.QCOM,SELL,56,40.661761615,-2.28,ATR_TRAIL,atr_breakout,2016-05-20,4.55,,,,,,4
2016-05-24,US.CDNS,SELL,83,24.55,-2.04,ATR_TRAIL,atr_breakout,2016-05-20,4.08,,,,,,4
2016-06-14,US.SNPS,SELL,44,52.17,41.26,STRAT_EXIT,atr_breakout,2016-05-24,4.55,,,,,,21
