code,entry_date,sell_date,strategy,exit_reason,pnl,return_pct
US.FTNT,2018-02-06,2018-07-24,atr_breakout,STRAT_EXIT,117878.3,43.22
US.COST,2018-06-21,2018-10-05,atr_breakout,ATR_TRAIL,13862.03,4.37
US.DXCM,2018-05-03,2018-10-08,atr_breakout,ATR_TRAIL,170391.17,46.03
US.QCOM,2018-07-26,2018-10-10,atr_breakout,ATR_TRAIL,24707.48,5.8
US.HON,2018-07-20,2018-10-10,atr_breakout,ATR_TRAIL,10802.78,2.84
US.SHG,2018-10-08,2018-10-10,atr_breakout,STRAT_EXIT,-3251.37,-2.16
US.AMD,2018-04-26,2018-10-19,atr_breakout,ATR_TRAIL,521992.33,113.85
US.KDP,2018-10-16,2018-10-23,atr_breakout,STRAT_EXIT,-1891.41,-0.73
US.PAYX,2018-10-12,2018-10-24,boll_mr,STOP_LOSS,-8286.62,-6.09
US.SPY,2018-10-12,2018-10-29,boll_mr,STOP_LOSS,-7002.45,-5.09
US.TMUS,2018-11-07,2018-11-09,atr_breakout,STRAT_EXIT,-3471.57,-2.46
US.SNPS,2018-11-07,2018-11-13,atr_breakout,STRAT_EXIT,-5251.25,-3.65
US.CSCO,2018-11-07,2018-11-13,atr_breakout,STOP_LOSS,-9840.84,-5.89
US.INTU,2018-11-07,2018-11-14,atr_breakout,STOP_LOSS,-8447.88,-5.72
US.KLAC,2018-11-16,2018-11-19,atr_breakout,STOP_LOSS,-12224.43,-5.09
US.KEP,2018-11-14,2018-11-19,atr_breakout,STRAT_EXIT,-5366.5,-3.11
US.QQQ,2018-12-03,2018-12-04,core_etf,MA200_BREAK,-32526.42,-3.95
US.CTAS,2018-11-16,2018-12-06,atr_breakout,STOP_LOSS,-12781.05,-5.09
US.VRSK,2018-11-09,2018-12-06,atr_breakout,STOP_LOSS,-6693.75,-5.09
US.OKTA,2018-12-06,2018-12-07,atr_breakout,STOP_LOSS,-8430.93,-6.91
US.ZS,2018-12-06,2018-12-07,atr_breakout,STOP_LOSS,-7733.35,-6.11
US.PEP,2018-11-19,2018-12-18,atr_breakout,STOP_LOSS,-11980.0,-5.37
US.AEP,2018-11-16,2018-12-24,atr_breakout,STOP_LOSS,-11537.48,-5.09
US.EXC,2018-11-16,2018-12-26,atr_breakout,STOP_LOSS,-11029.64,-5.09
US.WF,2018-12-27,2018-12-28,atr_breakout,STOP_LOSS,-8476.54,-5.09
US.TEAM,2019-01-07,2019-01-22,atr_breakout,STOP_LOSS,-7274.3,-5.09
US.VRSK,2019-01-22,2019-01-29,atr_breakout,STRAT_EXIT,-223.09,-0.16
US.REGN,2019-01-04,2019-02-21,atr_breakout,STRAT_EXIT,8602.53,5.19
US.FAST,2019-01-29,2019-03-20,atr_breakout,STRAT_EXIT,7142.42,5.08
US.GOOG,2019-03-20,2019-03-27,atr_breakout,STOP_LOSS,-22501.12,-5.09
US.NFLX,2019-01-04,2019-04-05,atr_breakout,STRAT_EXIT,39722.05,22.67
US.PCAR,2019-01-04,2019-04-08,atr_breakout,STRAT_EXIT,30062.81,17.94
US.BKR,2019-01-07,2019-04-30,atr_breakout,ATR_TRAIL,9439.84,6.41
US.MRVL,2019-04-17,2019-05-06,atr_breakout,STOP_LOSS,-23812.96,-5.09
US.OKTA,2019-05-06,2019-05-09,atr_breakout,STOP_LOSS,-4613.2,-5.09
US.ZS,2019-05-10,2019-05-13,atr_breakout,STOP_LOSS,-37148.76,-7.51
US.AAPL,2019-04-08,2019-05-13,atr_breakout,STOP_LOSS,-22641.67,-6.92
US.ROST,2019-01-04,2019-05-17,atr_breakout,STRAT_EXIT,23579.52,14.14
US.LIN,2019-05-17,2019-05-23,atr_breakout,STRAT_EXIT,-2036.34,-2.17
US.ADP,2019-03-27,2019-05-23,atr_breakout,STRAT_EXIT,2495.77,2.66
US.INTU,2019-05-24,2019-05-31,atr_breakout,STOP_LOSS,-3502.33,-5.09
US.OKTA,2019-05-31,2019-06-03,atr_breakout,STOP_LOSS,-4845.59,-5.09
US.WF,2019-06-04,2019-06-05,atr_breakout,STOP_LOSS,-7795.58,-5.09
US.DXCM,2019-06-04,2019-06-06,atr_breakout,STOP_LOSS,-7563.65,-5.09
US.PEP,2019-05-15,2019-07-12,atr_breakout,STRAT_EXIT,12288.08,3.69
US.TEAM,2019-05-08,2019-07-16,atr_breakout,STRAT_EXIT,16676.39,16.92
US.CMCSA,2019-07-16,2019-07-19,atr_breakout,STRAT_EXIT,-2069.34,-2.38
US.TSM,2019-07-19,2019-08-01,atr_breakout,STOP_LOSS,-19902.84,-5.09
US.CDNS,2019-07-25,2019-08-02,atr_breakout,STOP_LOSS,-5422.22,-6.36
US.MDLZ,2019-06-14,2019-08-05,atr_breakout,STOP_LOSS,-4266.19,-5.09
US.MNST,2019-08-06,2019-08-08,boll_mr,STOP_LOSS,-2575.58,-5.09
