date,code,side,qty,price,pnl,reason,strategy,trend_score,fundamental_score,news_score,weather_score,total_score,score_label,replacement_from,replacement_score_delta
2020-04-13,US.NFLX,BUY,165,39.672,,SIGNAL,atr_breakout,70.90386222243316,,,100.0,80.6,FULL,,
2020-04-13,US.TSEM,BUY,65,18.15,,SIGNAL,atr_breakout,13.17668816529031,,,100.0,42.12,OBSERVATION,,
2020-04-14,US.MNST,BUY,163,32.205,,SIGNAL,atr_breakout,96.30288850713467,,,100.0,97.54,FULL,US.TSEM,55.42
2020-04-15,US.ZS,BUY,55,69.96,,SIGNAL,atr_breakout,83.79499951918699,,,100.0,89.2,FULL,,
2020-04-20,US.PDD,BUY,107,50.11,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2020-04-22,US.BE,BUY,179,7.95,,SIGNAL,atr_breakout,62.61525312959152,,,100.0,75.08,PARTIAL,,
2020-04-22,US.META,BUY,7,180.693236923,,SIGNAL,atr_breakout,12.70425524468183,,,100.0,41.8,OBSERVATION,,
2020-04-23,US.TTD,BUY,51,25.397,,SIGNAL,atr_breakout,40.80999114936045,,,100.0,60.54,PARTIAL,,
2020-04-24,US.COHR,BUY,40,30.97,,SIGNAL,atr_breakout,56.69718131319339,,,100.0,71.13,PARTIAL,,
2020-04-28,US.ROK,BUY,23,176.274696123,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.META,58.2
2020-04-29,US.LSCC,BUY,203,22.31,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2020-04-29,US.COPX,BUY,417,13.09496271,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.SBUX,47.85
2020-04-30,US.META,BUY,27,202.927981844,,SIGNAL,atr_breakout,87.88785332299406,,,100.0,91.93,FULL,,
2020-05-04,US.CCJ,BUY,694,10.681700902,,SIGNAL,atr_breakout,93.84719073653889,,,100.0,95.9,FULL,,
2020-05-04,US.TEAM,BUY,27,163.13,,SIGNAL,atr_breakout,51.585709915956436,,,100.0,67.72,PARTIAL,,
2020-05-04,US.DDOG,BUY,24,45.83,,SIGNAL,atr_breakout,16.7223501777056,,,100.0,44.48,OBSERVATION,,
2020-05-05,US.URA,BUY,122,8.900986679,,SIGNAL,atr_breakout,24.26158245732593,,,100.0,49.51,OBSERVATION,,
2020-05-05,US.EA,BUY,8,116.076365597,,SIGNAL,atr_breakout,21.684315136407545,,,100.0,47.79,OBSERVATION,,
2020-05-06,US.MELI,BUY,4,742.88,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2020-05-14,US.SLV,BUY,142,14.81,,SIGNAL,atr_breakout,63.110717411579074,,,100.0,75.41,PARTIAL,,
2020-05-15,US.GLD,BUY,3,163.93,,SIGNAL,atr_breakout,13.838157767034346,,,100.0,42.56,OBSERVATION,,
2020-05-18,US.PDD,BUY,39,66.46,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.GLD,57.44
2020-05-19,US.TTWO,BUY,18,142.24,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2020-05-20,US.ASML,BUY,8,305.116059897,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.DDOG,55.52
2020-05-21,US.SNPS,BUY,6,168.49,,SIGNAL,atr_breakout,25.208922602182284,,,100.0,50.14,OBSERVATION,,
2020-05-26,US.BKNG,BUY,73,68.422956904,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,US.SNPS,49.86
2020-05-27,US.PCAR,BUY,120,40.681252611,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2020-05-28,US.WDAY,BUY,26,182.56,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2020-06-05,US.ADP,BUY,17,139.56738724,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
2020-06-15,US.SMCI,BUY,909,3.129,,SIGNAL,atr_breakout,78.93705084449205,,,100.0,85.96,FULL,,
2020-06-15,US.PDD,BUY,24,77.67,,SIGNAL,atr_breakout,55.1719500828045,,,100.0,70.11,PARTIAL,,
2020-06-29,US.ASTS,BUY,259,10.15,,SIGNAL,atr_breakout,100.0,,,100.0,100.0,FULL,,
